"MLS #","Class","Property Type","Address","City","Zip","Neighborhood","Subdivision","Bedrooms","Total Baths","Total Living Area SqFt","Acres","Year Built","List Date","Closing Date","Days On Market","List Price","Sold Price"
"2442512","RESIDENTIAL","Single Family Residence","1915 Jones Franklin Road","Raleigh","27606",,"Not in a Subdivision","3","2","1,446",".51-.75 Acres","1959","4/14/2022","5/9/2022","4","$418,000","$435,000"
"2435527","RESIDENTIAL","Single Family Residence","308 Whitehall Drive","Creedmoor","27522",,"Whitehall","4","3","3,126",".26-.5 Acres","2003","3/9/2022","4/22/2022","7","$400,000","$435,000"
"2433275","RESIDENTIAL","Single Family Residence","5109 Sweet Clover Court","Durham","27703",,"Ashley Forest","3","2","1,663","0-.25 Acres","1990","2/25/2022","4/19/2022","3","$360,000","$435,000"
"2444013","RESIDENTIAL","Townhouse","125 Wellons Creek Drive","Garner","27529",,"The Landing at Heather Park","4","4","2,360","0-.25 Acres","2019","4/21/2022","6/23/2022","5","$430,000","$435,000"
"2416981","RESIDENTIAL","Single Family Residence","2601 Ashe Street","Durham","27703",,"Not in a Subdivision","4","3","2,156","0-.25 Acres","2021","11/2/2021","5/19/2022","0","$439,900","$435,000"
"2440082","RESIDENTIAL","Single Family Residence","1235 Orchard Oriole Lane","Durham","27713",,"Orchard Lake","3","3","1,757","0-.25 Acres","2004","4/1/2022","5/6/2022","2","$375,000","$435,000"
"2443436","RESIDENTIAL","Single Family Residence","6416 Westborough Drive","Raleigh","27612",,"Westborough","3","2","1,353","0-.25 Acres","1997","4/20/2022","5/31/2022","2","$399,000","$435,000"
"2444990","RESIDENTIAL","Single Family Residence","309 Gooseberry Drive","Holly Springs","27540",,"Arbor Creek","3","2","1,534","0-.25 Acres","1998","4/27/2022","5/31/2022","0","$385,000","$435,000"
"2450402","RESIDENTIAL","Single Family Residence","1020 Cookwood Court","Raleigh","27610",,"Summer Place","4","3","2,702","0-.25 Acres","2004","5/20/2022","6/14/2022","3","$410,000","$435,000"
"2444905","RESIDENTIAL","Townhouse","161 Gulley Glen Drive","Garner","27529",,"The Landing at Heather Park","4","4","2,436","0-.25 Acres","2017","4/26/2022","6/16/2022","10","$435,000","$435,000"
"2445616","RESIDENTIAL","Single Family Residence","805 Wendy Lane","Durham","27712",,"Cardens Creek","3","2","2,130",".51-.75 Acres","1979","4/29/2022","5/31/2022","5","$398,000","$435,000"
"2438381","RESIDENTIAL","Single Family Residence","1613 Euclid Drive","Durham","27713",,"Parkwood","3","2","1,645",".26-.5 Acres","1962","3/24/2022","5/13/2022","3","$400,000","$435,000"
"2452604","RESIDENTIAL","Single Family Residence","1012 Hale Street","Durham","27705",,"Englewood","3","1","1,367","0-.25 Acres","1938","6/1/2022","6/16/2022","2","$365,000","$435,000"
"2421436","RESIDENTIAL","Single Family Residence","205 Griffin Park Road","Louisburg","27549",,"Not in a Subdivision","3","2","1,904","11+ Acres","2007","11/30/2021","4/11/2022","62","$459,900","$435,000"
"2443972","RESIDENTIAL","Single Family Residence","3409 Kistler Court","Willow Springs","27592",,"Oak Hollow","3","3","2,174",".76-.99 Acres","1988","4/21/2022","6/9/2022","13","$435,000","$435,000"
"2445809","RESIDENTIAL","Single Family Residence","429 Moultonboro Avenue","Wake Forest","27587",,"Sedgefield Park","3","2","1,978",".26-.5 Acres","2002","4/29/2022","6/29/2022","10","$425,000","$435,000"
"2447771","RESIDENTIAL","Single Family Residence","2330 Orangewood Drive","Durham","27705",,"Not in a Subdivision","3","2","1,553",".26-.5 Acres","1967","5/9/2022","6/15/2022","4","$415,000","$435,000"
"2442004","RESIDENTIAL","Condo","704 Constitution Drive","Durham","27705",,"Pebble Creek","3","3","1,720","0-.25 Acres","1974","4/12/2022","5/5/2022","1","$350,000","$435,000"
"2448571","RESIDENTIAL","Single Family Residence","5912 Woodcrest Drive","Raleigh","27603",,"Colonial Heights","3","3","2,475",".26-.5 Acres","1959","5/12/2022","6/8/2022","2","$399,900","$435,000"
"2446281","RESIDENTIAL","Single Family Residence","2605 Dality Drive","Raleigh","27604",,"New Hope Crossing","4","3","2,272","0-.25 Acres","2002","5/3/2022","6/7/2022","3","$395,000","$435,000"
"2434098","RESIDENTIAL","Single Family Residence","407 Powhatan Drive","Fuquay Varina","27526",,"Village of Sippihaw","4","3","2,058",".26-.5 Acres","1997","3/2/2022","4/12/2022","3","$425,000","$435,000"
"2445275","RESIDENTIAL","Single Family Residence","170 Indigo Street","Lillington","27546",,"South Creek","3","3","2,420",".51-.75 Acres","2021","4/28/2022","5/24/2022","0","$419,900","$435,000"
"2448025","RESIDENTIAL","Single Family Residence","1207 Shackleton Road","Apex","27502",,"Lexington","3","3","1,860","0-.25 Acres","1996","5/10/2022","6/21/2022","2","$420,000","$435,000"
"2445152","RESIDENTIAL","Single Family Residence","6723 Whitney Road","Graham","27253",,"To Be Added","3","4","2,738","3-5.9 Acres","1910","4/27/2022","6/3/2022","3","$375,000","$435,000"
"2428991","RESIDENTIAL","Single Family Residence","90 Sampson","Dunn","28334",,"Not in a Subdivision","2","3","2,870","3-5.9 Acres","1998","1/29/2022","4/14/2022","3","$399,000","$435,000"
