Mortgage Rates,Zip,Bedrooms,Total Baths,SqFt,Acres,Year Built,List Price,Sold Price,Days on Market,Over Asking,Lat,Lon,Cluster,Price per SqFt
2.77,27516,2,2,1021,1,1983,180000,190000,43,10000,35.9162,-79.0999,1,186.0920666013712
2.77,27604,2,3,1252,1,2006,200000,210000,59,10000,35.8334,-78.5799,4,167.73162939297126
2.77,27613,2,3,1423,1,2004,235000,242000,41,7000,35.8949,-78.7051,2,170.06324666198174
2.77,27606,3,3,1303,1,2020,230000,236500,15,6500,35.7645,-78.7112,2,181.504221028396
2.77,27610,3,3,1440,1,2003,180000,186000,20,6000,35.7667,-78.6008,4,129.16666666666666
2.77,27517,2,3,1343,1,1987,220000,226000,65,6000,35.9182,-79.0035,1,168.27997021593447
2.77,27713,2,3,1293,1,1989,184900,190000,41,5100,35.9112,-78.9178,1,146.94508894044856
2.77,27560,2,1,965,1,1990,200000,205000,154,5000,35.8344,-78.8466,1,212.43523316062172
2.77,27713,2,3,1136,1,2005,189000,193000,36,4000,35.9112,-78.9178,1,169.8943661971831
2.77,27615,2,3,1370,1,2000,190000,193000,43,3000,35.8887,-78.6393,2,140.87591240875912
2.77,27616,3,3,1683,1,2003,219000,222000,49,3000,35.8673,-78.5381,4,131.9073083778966
2.77,27613,3,3,1583,1,2005,245000,248000,41,3000,35.8949,-78.7051,2,156.66456096020215
2.77,27617,3,3,1970,1,2009,265000,268000,71,3000,35.9034,-78.7447,2,136.04060913705584
2.77,27705,3,3,1629,1,2020,303910,306765,182,2855,36.0218,-78.9478,1,188.31491712707185
2.77,27606,3,3,1700,1,1986,234900,237500,36,2600,35.7645,-78.7112,2,139.7058823529412
2.77,27707,3,3,1978,1,2020,310340,312430,154,2090,35.9631,-78.9315,1,157.95247724974723
2.77,27616,3,3,1811,1,2014,238000,240000,61,2000,35.8673,-78.5381,4,132.52346769740475
2.77,27703,3,3,1916,1,2020,275070,276520,253,1450,35.9781,-78.8439,1,144.321503131524
2.77,27704,2,2,1054,1,2002,170000,171000,43,1000,36.0383,-78.8764,1,162.23908918406073
2.77,27560,3,4,2279,1,2007,284900,285011,8,111,35.8344,-78.8466,1,125.05967529618252
2.77,27615,3,3,1531,1,1984,229000,229000,39,0,35.8887,-78.6393,2,149.5754408883083
2.77,27616,3,3,2037,1,2020,333196,333196,189,0,35.8673,-78.5381,4,163.57191948944526
2.77,27526,3,3,1653,1,2020,276623,276623,164,0,35.58,-78.7908,1,167.34603750756202
2.77,27511,3,3,1855,1,1996,275500,275500,84,0,35.7641,-78.7786,1,148.51752021563345
2.77,27610,3,3,1573,1,2020,220852,220852,129,0,35.7667,-78.6008,4,140.40178003814367
2.77,27610,3,3,1573,1,2020,220002,220002,132,0,35.7667,-78.6008,4,139.86141131595676
2.77,27616,3,4,1795,1,2021,278610,278610,140,0,35.8673,-78.5381,4,155.21448467966573
